Date,Transaction Description,Debit,Credit,Currency,CardName,Transaction,Location
01-12-2018,STIC TRAVELS PVT LTD,0,32256,INR,Rahul,Domestic,DELHI
13-01-2018,FLIPKART INTERNET PRIVATE,21168,0,INR,Rahul,Domestic,BANGALORE
14-01-2018,FLEMINGO DUTY FREE,18796.99,0,INR,Rahul,Domestic,Mumbai
14-01-2018,AIRTEL PAYMENT,1297,0,INR,Rahul,Domestic,MUMBAI
14-01-2018,AIRTEL PAYMENT,0,902,INR,Rahul,Domestic,CHENNAI
22-01-2018,FLIPKART INTERNET PRIVATE,5000,0,INR,Rahul,Domestic,BANGALORE
17-01-2018,PAYTM,165,0,INR,Ritu,Domestic,NOIDA
17-01-2018,BIKANERVALA,325,0,INR,Ritu,Domestic,GURGAON
19-01-2018,VFS GLOBAL SERVICES PVT,1200,0,INR,Ritu,Domestic,MUMBAI
21-01-2018,Amazon Seller Services,0,2155,INR,Ritu,Domestic,BANGALORE
13-01-2018,SRILANKANUPGRADE,6,0,EUR,Rahul,International,KATUNAYAKE
14-01-2018,HEALTHGUARD LIMITED,0,5,USD,Rahul,International,KATUNAYAKE
14-01-2018,FOOT RUB,20,0,EUR,Rahul,International,BERLIN
20-01-2018,California Games,100,0,USD,Rahul,International,CALIFORNIA
30-01-2018,NewYorkShop,0,200,USD,Rahul,International,NEWYORK
02-08-2018,EURO WINGS,5,0,EUR,Rahul,International,DUSSELDOR
