Date,Transaction Description,Debit,Credit,Currency,CardName,Transaction,Location
03-12-2018,Amazon Cash Back Jan 18,213,,INR,Rahul,Domestic,Hissar
16-03-2018,SUBWAY,,230,INR,Rahul,Domestic,GURGAON
18-03-2018,NIMITAYA HOTEL & RESOR,,3415,INR,Rahul,Domestic,GURGAON
18-03-2018,BIRYANI PARADISE,,335,INR,Rahul,Domestic,GURGAON
19-03-2018,AIRTEL PAYMENT,880,,INR,Rahul,Domestic,MUMBAI
19-03-2018,AIRTEL PAYMENT,,1297,INR,Rahul,Domestic,MUMBAI
19-03-2018,AMAZON SELLER SERVICES,41499,,INR,Raj,Domestic,MUMBAI
19-03-2018,ICICI PRUDENTIAL LIFE,35935,,INR,Raj,Domestic,MUMBAI
20-03-2018,CARNIVAL CINEMAS NEEMU,110,,INR,Raj,Domestic,GURGAON
23-03-2018,BIRYANI PARADISE,219,,INR,Raj,Domestic,GURGAON
25-03-2018,SRS CINEMAS,,155,INR,Raj,Domestic,GURGAON
25-03-2018,SRS CINEMAS,,1440,INR,Raj,Domestic,GURGAON
25-03-2018,NIMITAYA HOTEL & RESOR,3414,,INR,Raj,Domestic,GURGAON
26-03-2018,KABI BESPOKE BOUTIQUE,,270,INR,Raj,Domestic,GURGAON
27-03-2018,PAYTM,2941,,INR,Raj,Domestic,NOIDA
27-03-2018,AMAZON SELLER SERVICES,416,,INR,Raj,Domestic,MUMBAI
28-03-2018,www.vodafone.in,500,0,INR,Raj,Domestic,MUMBAI
30-12-2017,SRILANKANUPGRADE,6,,EUR,Raj,International,KATUNAYAKE
14-01-2018,HEALTHGUARD LIMITED,,15,USD,Raj,International,KATUNAYAKE
19-01-2018,FOOT RUB,26,,EUR,Raj,International,BERLIN
20-01-2018,California Games,107,,USD,Raj,International,CALIFORNIA
30-01-2018,NewYorkShop,210,,USD,Raj,International,NEWYORK
02-08-2018,EURO WINGS,15,,EUR,Raj,International,DUSSELDOR
